

AREAS PRIORITARIAS
NOME DA ÁREA PRIORITÁRIA|PROTEÇÃO AOS RECURSOS HÍDRICOS|CRIAÇÃO DE UNIDADES DE CONSERVAÇÃO|RESTAURAÇÃO DE CORREDORES ECOLÓGICOS|COTA DE RESERVA AMBIENTAL|FOMENTO AO USO SUSTENTÁVEL|FORTALECIMENTO DE UNIDADES DE CONSERVAÇÃO|IMPORTÂNCIA BIOLÓGICA|PRIORIDADE|ÁREA (ha)
APCB118 | y |   | y | y | y |   | alta | alta | 46083,5521252
Proposta RB Natividade | y |   | y |   | y | y | alta | alta | 10534,6264156
Proposta RVS Cana Borracha Luzia | y |   |   |   | y | y | alta | alta | 2868,1451627


DADOS AMBIENTAIS
CAMADA|CLASSE REGISTRADA|DESCRIÇÃO|DETALHAMENTO|ÁREA (ha) |% da área
Índice de Fragmentação|Baixo|—|—|120542,960256
Relevância Ambiental|Alto|—|—|68948,7569447
Relevância Ambiental|MÃ©dio|—|—|985,803106223
Relevância Ambiental|Muito Alto|—|—|50608,4002454
Vulnerabilidade Ambiental|Alto|—|—|11133,823125
Vulnerabilidade Ambiental|Muito Alto|—|—|109409,137074
Vulnerabilidade e Risco Natural dos Recursos Hídricos Subterrâneos|Alta|—|—|969,583143015
Vulnerabilidade e Risco Natural dos Recursos Hídricos Subterrâneos|Baixa|—|—|9905,18094632
Vulnerabilidade e Risco Natural dos Recursos Hídricos Subterrâneos|Média|—|—|48189,2595175
Vulnerabilidade e Risco Natural dos Recursos Hídricos Subterrâneos|Muito Alta|—|—|61478,9366228
Vulnerabilidade à Erosao|Alta|—|—|2942,35039591
Vulnerabilidade à Erosao|Alta a Muito Alta|—|—|117600,609835
Vulnerabilidade Hídrica|Muito Alta|—|—|120542,960337
Classificação Vegetal|Area Antropizada|—|—|5761,61806802
Classificação Vegetal|Caatinga Arborea|—|—|34188,6457274
Classificação Vegetal|Caatinga Arbustiva|—|—|8060,52294414
Classificação Vegetal|Caatinga Parque|—|—|69551,7497849
Classificação Vegetal|Mata Ciliar|—|—|2898,30688187


DADOS SOCIO
CAMADA|CLASSE REGISTRADA|DESCRIÇÃO|DETALHAMENTO|ÁREA (ha) |% da área
Assentamentos|—|PA BANGUÊ|CURACA|5641,64789659
Sítio Arqueológicos|Arte rupestre| |Curaçá|—
Comunidades de Fundo de Pasto|—|30,0|Juazeiro|11133,8231993
Comunidades de Fundo de Pasto|—|39,0|Curaçá|109409,137045
Territórios Indígenas|Não foram encontrados registros para esta camada.|—|—|—
Patrimônios Tombados|Não foram encontrados registros para esta camada.|—|—|—
Territórios Quilombolas|Não foram encontrados registros para esta camada.|—|—|—
Relevância Social|Muito Alto|—|—|120542,960256
Zoneamento Ecológico Econômico|Depressão Sertaneja de Curaçá|---|---|1205429602,68
Vulnerabilidade Social|Baixo|—|—|10971,4164174
Vulnerabilidade Social|Muito Alto|—|—|109571,543851


MEIO FÍSICO
CAMADA|CLASSE REGISTRADA|DESCRIÇÃO|DETALHAMENTO|ÁREA (ha) |% da área
Geomorfologia|Pediplano Sertanejo|—|—|120542,960226
Unidades Geoambientais|—|Depressão Sertaneja de Curaçá|Com rochas do complexo granito-gnaisses, charnockitos, biotita quartzo, feldspato-gnaisses, etc. Desenvolve-se sobre solos rasos num modelado de aplanamento dominantemente pedregosos. Altitude entre 400 e 500m.|114005,749791
Unidades Geoambientais|—|Planície Fluvial do rio São Francisco|Desenvolvidas dos depósitos arenosos, síltico-lamosos e argilosos, os modelados representam as várzeas, resultante da acumulação fluvial recente e sujeitas a inundações periódicas e de terraços mais antigos.|3594,86004532
Unidades Geoambientais|—|Residuais nas Depressões Interplanálticas|Compreende colinas, morros e cristas alinhadas desenvolvidas nas rochas biotita gnaisses e gnaisses, quartzo-feldspaticos, quebrando a monotonia da paisagem plana e suave ondulada da Depressão Sertaneja.|2942,35039591


RESTRIÇÕES LEGAIS
CAMADA|CLASSE REGISTRADA|DESCRIÇÃO|DETALHAMENTO|ÁREA (ha) |% da área
Cavernas|—|Abismo Buraco do Vento|CURAÇÁ|—
Cavernas|—|Toca da Mexira|CURAÇÁ|—
Cavernas|—|Abismo dos Cedros|CURAÇÁ|—
Cavernas|—|Toca Grande|CURAÇÁ|—
Relevância Ambiental|Alto|—|—|68948,7569447
Relevância Ambiental|MÃ©dio|—|—|985,803106223
Relevância Ambiental|Muito Alto|—|—|50608,4002454
Relevância Social|Muito Alto|—|—|120542,960256
Unidades de Conservação Federais|Não foram encontrados registros para esta camada.|—|—|—
Unidades de Conservação Estaduais|Não foram encontrados registros para esta camada.|—|—|—
Zonas de Amortecimento de UCs Federais (3km)|Não foram encontrados registros para esta camada.|—|—|—
Zonas de Amortecimento de UCs Estaduais (3km)|Não foram encontrados registros para esta camada.|—|—|—
Zonas de Amortecimento de Estaduais|Não foram encontrados registros para esta camada.|—|—|—


INFRAESTRUTURA HÍDRICA
CAMADA|CLASSE REGISTRADA|DESCRIÇÃO|DETALHAMENTO|ÁREA (ha) |% da área
Barragens|Não foram encontrados registros para esta camada.|—|—|—
Pivôs Centrais|Não foram encontrados registros para esta camada.|—|—|—
