

AREAS PRIORITARIAS
NOME DA ÁREA PRIORITÁRIA|PROTEÇÃO AOS RECURSOS HÍDRICOS|CRIAÇÃO DE UNIDADES DE CONSERVAÇÃO|RESTAURAÇÃO DE CORREDORES ECOLÓGICOS|COTA DE RESERVA AMBIENTAL|FOMENTO AO USO SUSTENTÁVEL|FORTALECIMENTO DE UNIDADES DE CONSERVAÇÃO|IMPORTÂNCIA BIOLÓGICA|PRIORIDADE|ÁREA (ha)
APCB118 | y |   | y | y | y |   | alta | alta | 7643,72547878
Proposta RB Natividade | y |   | y |   | y | y | alta | alta | 641,249771131
Proposta RVS Cana Borracha Luzia | y |   |   |   | y | y | alta | alta | 964,123059907


DADOS AMBIENTAIS
CAMADA|CLASSE REGISTRADA|DESCRIÇÃO|DETALHAMENTO|ÁREA (ha) |% da área
Índice de Fragmentação|Baixo|—|—|30086,6929598
Relevância Ambiental|Alto|—|—|12556,6436878
Relevância Ambiental|Muito Alto|—|—|17530,0492657
Vulnerabilidade Ambiental|Alto|—|—|4251,46089534
Vulnerabilidade Ambiental|Muito Alto|—|—|25835,2320673
Vulnerabilidade e Risco Natural dos Recursos Hídricos Subterrâneos|Alta|—|—|126,588818434
Vulnerabilidade e Risco Natural dos Recursos Hídricos Subterrâneos|Baixa|—|—|4077,49088147
Vulnerabilidade e Risco Natural dos Recursos Hídricos Subterrâneos|Média|—|—|13649,3224818
Vulnerabilidade e Risco Natural dos Recursos Hídricos Subterrâneos|Muito Alta|—|—|12233,2907899
Vulnerabilidade à Erosao|Alta|—|—|1167,17435619
Vulnerabilidade à Erosao|Alta a Muito Alta|—|—|28919,5186031
Vulnerabilidade Hídrica|Muito Alta|—|—|30086,692998
Classificação Vegetal|Area Antropizada|—|—|2170,84182742
Classificação Vegetal|Caatinga Arborea|—|—|11119,3899137
Classificação Vegetal|Caatinga Arbustiva|—|—|680,595940842
Classificação Vegetal|Caatinga Parque|—|—|15271,9432741
Classificação Vegetal|Mata Ciliar|—|—|820,459679842


DADOS SOCIO
CAMADA|CLASSE REGISTRADA|DESCRIÇÃO|DETALHAMENTO|ÁREA (ha) |% da área
Assentamentos|—|PA BANGUÊ|CURACA|13,0471492582
Sítio Arqueológicos|Não foram encontrados registros para esta camada.|—|—|—
Comunidades de Fundo de Pasto|—|30,0|Juazeiro|4251,46088972
Comunidades de Fundo de Pasto|—|39,0|Curaçá|25835,2320696
Territórios Indígenas|Não foram encontrados registros para esta camada.|—|—|—
Patrimônios Tombados|Não foram encontrados registros para esta camada.|—|—|—
Territórios Quilombolas|Não foram encontrados registros para esta camada.|—|—|—
Relevância Social|Muito Alto|—|—|30086,6929598
Zoneamento Ecológico Econômico|Depressão Sertaneja de Curaçá|---|---|300866930,062
Vulnerabilidade Social|Baixo|—|—|4173,07382422
Vulnerabilidade Social|Muito Alto|—|—|25913,6191819


MEIO FÍSICO
CAMADA|CLASSE REGISTRADA|DESCRIÇÃO|DETALHAMENTO|ÁREA (ha) |% da área
Geomorfologia|Pediplano Sertanejo|—|—|30086,6929625
Unidades Geoambientais|—|Depressão Sertaneja de Curaçá|Com rochas do complexo granito-gnaisses, charnockitos, biotita quartzo, feldspato-gnaisses, etc. Desenvolve-se sobre solos rasos num modelado de aplanamento dominantemente pedregosos. Altitude entre 400 e 500m.|26682,3655999
Unidades Geoambientais|—|Planície Fluvial do rio São Francisco|Desenvolvidas dos depósitos arenosos, síltico-lamosos e argilosos, os modelados representam as várzeas, resultante da acumulação fluvial recente e sujeitas a inundações periódicas e de terraços mais antigos.|2237,15300514
Unidades Geoambientais|—|Residuais nas Depressões Interplanálticas|Compreende colinas, morros e cristas alinhadas desenvolvidas nas rochas biotita gnaisses e gnaisses, quartzo-feldspaticos, quebrando a monotonia da paisagem plana e suave ondulada da Depressão Sertaneja.|1167,17435619


RESTRIÇÕES LEGAIS
CAMADA|CLASSE REGISTRADA|DESCRIÇÃO|DETALHAMENTO|ÁREA (ha) |% da área
Cavernas|Não foram encontrados registros para esta camada.|—|—|—
Relevância Ambiental|Alto|—|—|12556,6436878
Relevância Ambiental|Muito Alto|—|—|17530,0492657
Relevância Social|Muito Alto|—|—|30086,6929598
Unidades de Conservação Federais|Não foram encontrados registros para esta camada.|—|—|—
Unidades de Conservação Estaduais|Não foram encontrados registros para esta camada.|—|—|—
Zonas de Amortecimento de UCs Federais (3km)|Não foram encontrados registros para esta camada.|—|—|—
Zonas de Amortecimento de UCs Estaduais (3km)|Não foram encontrados registros para esta camada.|—|—|—
Zonas de Amortecimento de Estaduais|Não foram encontrados registros para esta camada.|—|—|—


INFRAESTRUTURA HÍDRICA
CAMADA|CLASSE REGISTRADA|DESCRIÇÃO|DETALHAMENTO|ÁREA (ha) |% da área
Barragens|Não foram encontrados registros para esta camada.|—|—|—
Pivôs Centrais|Não foram encontrados registros para esta camada.|—|—|—
